,Tag,SP,SR,SF1,RP,RR,RF1,SP,SR,SF1
0,Adherence,0.298,0.292,0.293,0.608,0.586,0.593,0.744,0.712,0.722
1,Concern,0.46,0.393,0.411,0.497,0.42,0.441,0.55,0.442,0.478
2,Education,0.585,0.606,0.579,0.706,0.726,0.697,0.756,0.757,0.741
3,Employment,0.57,0.594,0.578,0.739,0.755,0.742,0.805,0.809,0.802
4,Financial,0.537,0.577,0.551,0.731,0.795,0.755,0.804,0.832,0.814
5,Healthcare,0.402,0.389,0.393,0.494,0.477,0.483,0.616,0.61,0.609
6,Insurance,0.61,0.602,0.593,0.809,0.749,0.761,0.858,0.782,0.804
7,Literacy,0.284,0.261,0.266,0.574,0.542,0.543,0.626,0.561,0.579
8,Living,0.637,0.72,0.671,0.656,0.745,0.693,0.736,0.82,0.772
9,MentalHealth,0.545,0.52,0.531,0.742,0.81,0.771,0.761,0.797,0.774
10,Recommendation,0.365,0.342,0.351,0.876,0.815,0.838,0.941,0.824,0.874
11,Smoke,0.888,0.916,0.899,0.956,0.982,0.965,0.971,0.982,0.975
12,Social,0.338,0.351,0.343,0.635,0.671,0.65,0.673,0.698,0.682
13,SubstanceUse,0.718,0.698,0.705,0.911,0.907,0.906,0.959,0.914,0.935
14,Transportation,0.553,0.616,0.577,0.705,0.783,0.735,0.788,0.836,0.804
15,Trauma,0.565,0.523,0.536,0.744,0.708,0.717,0.793,0.704,0.736
16,overall,0.486,0.486,0.485,0.673,0.682,0.677,0.746,0.732,0.738
