,Tag,SP,SR,SF1,RP,RR,RF1,SP,SR,SF1
0,Adherence,0.643,0.592,0.614,0.879,0.814,0.841,0.94,0.858,0.894
1,Concern,0.655,0.518,0.577,0.755,0.595,0.664,0.803,0.627,0.703
2,Education,0.874,0.871,0.872,0.936,0.935,0.935,0.948,0.941,0.943
3,Employment,0.876,0.913,0.892,0.91,0.946,0.926,0.935,0.961,0.948
4,Financial,0.783,0.841,0.81,0.884,0.947,0.914,0.916,0.948,0.931
5,Healthcare,0.78,0.688,0.726,0.879,0.79,0.826,0.917,0.819,0.86
6,Insurance,0.859,0.808,0.83,0.967,0.904,0.932,0.988,0.916,0.947
7,Literacy,0.672,0.754,0.71,0.812,0.916,0.859,0.861,0.931,0.893
8,Living,0.871,0.895,0.881,0.888,0.914,0.899,0.903,0.923,0.911
9,MentalHealth,0.662,0.73,0.691,0.777,0.933,0.846,0.802,0.967,0.876
10,Recommendation,0.576,0.562,0.568,0.95,0.934,0.941,0.974,0.964,0.969
11,Smoke,0.96,0.944,0.952,1.0,0.983,0.991,1.0,0.982,0.99
12,Social,0.801,0.796,0.798,0.891,0.886,0.888,0.911,0.897,0.903
13,SubstanceUse,0.814,0.83,0.82,0.926,0.967,0.944,0.975,0.979,0.977
14,Transportation,0.795,0.838,0.815,0.89,0.949,0.917,0.906,0.958,0.93
15,Trauma,0.874,0.903,0.886,0.926,0.985,0.953,0.946,0.989,0.965
16,overall,0.777,0.775,0.775,0.884,0.893,0.888,0.914,0.909,0.911
